"subject","age","sex","spain","spanish","consent","type","trial","exp","item","dependency","length","rating","z.score.rating"
"S1",27,"female","yes","yes","yes","filler_gram","1","filler",NA,NA,NA,"7",1.52216716942926
"S1",27,"female","yes","yes","yes","filler_ungram","2","filler",NA,NA,NA,"3",-0.432723108366176
"S1",27,"female","yes","yes","yes","wh_short","3","exp","4","wh","short","5",0.54472203053154
"S1",27,"female","yes","yes","yes","filler_gram","4","filler",NA,NA,NA,"7",1.52216716942926
"S1",27,"female","yes","yes","yes","filler_ungram","5","filler",NA,NA,NA,"4",0.0559994610826817
"S1",27,"female","yes","yes","yes","filler_ungram","6","filler",NA,NA,NA,"3",-0.432723108366176
"S1",27,"female","yes","yes","yes","filler_gram","7","filler",NA,NA,NA,"7",1.52216716942926
"S1",27,"female","yes","yes","yes","wh_long","8","exp","14","wh","long","5",0.54472203053154
"S1",27,"female","yes","yes","yes","filler_ungram","9","filler",NA,NA,NA,"4",0.0559994610826817
"S1",27,"female","yes","yes","yes","filler_ungram","10","filler",NA,NA,NA,"4",0.0559994610826817
"S1",27,"female","yes","yes","yes","local_short","11","exp","19","local","short","5",0.54472203053154
"S1",27,"female","yes","yes","yes","filler_ungram","12","filler",NA,NA,NA,"4",0.0559994610826817
"S1",27,"female","yes","yes","yes","filler_ungram","13","filler",NA,NA,NA,"2",-0.921445677815034
"S1",27,"female","yes","yes","yes","filler_gram","14","filler",NA,NA,NA,"7",1.52216716942926
"S1",27,"female","yes","yes","yes","wh_long","15","exp","18","wh","long","6",1.0334445999804
"S1",27,"female","yes","yes","yes","filler_ungram","16","filler",NA,NA,NA,"3",-0.432723108366176
"S1",27,"female","yes","yes","yes","filler_ungram","17","filler",NA,NA,NA,"2",-0.921445677815034
"S1",27,"female","yes","yes","yes","filler_gram","18","filler",NA,NA,NA,"7",1.52216716942926
"S1",27,"female","yes","yes","yes","filler_ungram","19","filler",NA,NA,NA,"3",-0.432723108366176
"S1",27,"female","yes","yes","yes","local_short","20","exp","23","local","short","4",0.0559994610826817
"S1",27,"female","yes","yes","yes","filler_gram","21","filler",NA,NA,NA,"5",0.54472203053154
"S1",27,"female","yes","yes","yes","filler_ungram","22","filler",NA,NA,NA,"3",-0.432723108366176
"S1",27,"female","yes","yes","yes","filler_gram","23","filler",NA,NA,NA,"7",1.52216716942926
"S1",27,"female","yes","yes","yes","local_long","24","exp","5","local","long","4",0.0559994610826817
"S1",27,"female","yes","yes","yes","filler_ungram","25","filler",NA,NA,NA,"5",0.54472203053154
"S1",27,"female","yes","yes","yes","filler_gram","26","filler",NA,NA,NA,"7",1.52216716942926
"S1",27,"female","yes","yes","yes","filler_ungram","27","filler",NA,NA,NA,"2",-0.921445677815034
"S1",27,"female","yes","yes","yes","local_long","28","exp","13","local","long","5",0.54472203053154
"S1",27,"female","yes","yes","yes","filler_ungram","29","filler",NA,NA,NA,"1",-1.41016824726389
"S1",27,"female","yes","yes","yes","filler_ungram","30","filler",NA,NA,NA,"2",-0.921445677815034
"S1",27,"female","yes","yes","yes","filler_ungram","31","filler",NA,NA,NA,"2",-0.921445677815034
"S1",27,"female","yes","yes","yes","local_long","32","exp","1","local","long","4",0.0559994610826817
"S1",27,"female","yes","yes","yes","filler_gram","33","filler",NA,NA,NA,"7",1.52216716942926
"S1",27,"female","yes","yes","yes","filler_ungram","34","filler",NA,NA,NA,"2",-0.921445677815034
"S1",27,"female","yes","yes","yes","filler_ungram","35","filler",NA,NA,NA,"1",-1.41016824726389
